Resource Name,Resource Cloud Provider ID,Resource Object Type,Resource Native Type,Compliance Check Name,Result,Severity,Policy Name,Assessed At,Remediation
acl-18067171,acl-18067171,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T01:19:51Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-0e39134d1aa607be9,acl-0e39134d1aa607be9,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T01:15:50Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-76a53910,acl-76a53910,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T01:19:52Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-055956aaf64da8b67,acl-055956aaf64da8b67,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T10:30:20Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-a908bbd2,acl-a908bbd2,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T01:19:49Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-06a3c8c64584cf395,acl-06a3c8c64584cf395,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T10:30:26Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-5a20f533,acl-5a20f533,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T01:17:15Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-9391ecee,acl-9391ecee,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T10:28:05Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-4df27b2b,acl-4df27b2b,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T01:19:53Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
acl-0375afa5871c01472,acl-0375afa5871c01472,CloudPlatform/Firewall,networkAcl,5.1 Ensure no Network ACLs allow ingress from 0.0.0.0/0 to remote server administration ports,FAIL,HIGH,Network ACL should restrict access over remote administration ports,2022-05-17T01:15:50Z,"Perform the following commands to delete or modify an inbound NACL rule to restrict remote administration ports access to specific entities via AWS CLI:   
**1.** To view the current NACL configuration:   
```  
aws ec2 describe-network-acls --network-acl-ids {{naclId}}  
```  
**2.** To modify an inbound rule, use the rule number from the previous output in the following command, and insert the wanted port range and IP CIDR:  
```  
aws ec2 replace-network-acl-entry --network-acl-id   --protocol tcp --rule-action allow --rule-number <ruleNumber> --ingress --cidr-block <ipCidr> --port-range From=<port>,To=<port>  
```   
**3.** To delete an unrestricted rule (allowed ingress connection of SSH\ RDP with 0.0.0.0/0) use the rule number from the previous output in the following command:  
  
```  
aws ec2 delete-network-acl-entry --network-acl-id {{naclId}} --ingress --rule-number <ruleNumber>  
```"
